i_type, w_type, o_type, H, W, C, FH, FW, K, SH, SW, has_bias, time(us), GPOS/s
NPU_INT8,NPU_INT8,NPU_INT8,16,14,8,3,3,16,1,1,0,54,7.168
NPU_INT8,NPU_INT8,NPU_INT8,24,26,8,3,3,32,1,1,0,157,15.496967
NPU_INT8,NPU_INT8,NPU_INT8,28,28,16,3,3,64,1,1,0,581,21.445837
NPU_INT8,NPU_INT8,NPU_INT8,32,34,16,3,3,8,1,1,0,143,15.467411
NPU_INT8,NPU_INT8,NPU_INT8,32,38,32,3,3,8,1,1,0,277,17.966208
NPU_INT8,NPU_INT8,NPU_INT8,36,42,32,3,3,16,1,1,0,581,21.572737
NPU_INT8,NPU_INT8,NPU_INT8,42,44,32,3,3,32,1,1,0,1332,23.247568
NPU_INT8,NPU_INT8,NPU_INT8,48,46,64,3,3,32,1,1,0,3074,24.272198
NPU_INT8,NPU_INT8,NPU_INT8,54,54,128,3,3,16,1,1,0,4118,24.205986
NPU_INT8,NPU_INT8,NPU_INT8,2,2,8,1,1,8,2,2,0,34,0.003765
NPU_INT8,NPU_INT8,NPU_INT8,4,2,8,1,1,16,2,2,0,34,0.015059
NPU_INT8,NPU_INT8,NPU_INT8,4,4,16,1,1,32,2,2,0,39,0.105026
NPU_INT8,NPU_INT8,NPU_INT8,6,4,16,1,1,64,2,2,0,42,0.292571
NPU_INT8,NPU_INT8,NPU_INT8,6,6,32,1,1,16,2,2,0,40,0.2304
NPU_INT8,NPU_INT8,NPU_INT8,8,6,64,1,1,8,2,2,0,49,0.250776
NPU_INT8,NPU_INT8,NPU_INT8,8,8,128,1,1,8,2,2,0,63,0.520127
NPU_INT8,NPU_INT8,NPU_INT8,16,14,8,1,1,16,2,2,0,38,0.377263
NPU_INT8,NPU_INT8,NPU_INT8,24,26,8,1,1,32,2,2,0,50,1.59744
NPU_INT8,NPU_INT8,NPU_INT8,28,28,16,1,1,64,2,2,0,83,4.836241
NPU_INT8,NPU_INT8,NPU_INT8,32,34,16,1,1,8,2,2,0,94,0.740766
NPU_INT8,NPU_INT8,NPU_INT8,32,38,32,1,1,8,2,2,0,129,1.206574
NPU_INT8,NPU_INT8,NPU_INT8,36,42,32,1,1,16,2,2,0,149,2.597799
NPU_INT8,NPU_INT8,NPU_INT8,42,44,32,1,1,32,2,2,0,160,5.9136
NPU_INT8,NPU_INT8,NPU_INT8,48,46,64,1,1,32,2,2,0,370,6.110789
NPU_INT8,NPU_INT8,NPU_INT8,54,54,128,1,1,16,2,2,0,926,3.224605
NPU_INT8,NPU_INT8,NPU_INT8,4,4,16,3,3,32,2,2,0,43,0.214326
NPU_INT8,NPU_INT8,NPU_INT8,6,4,16,3,3,64,2,2,0,52,0.708923
NPU_INT8,NPU_INT8,NPU_INT8,6,6,32,3,3,16,2,2,0,45,0.8192
NPU_INT8,NPU_INT8,NPU_INT8,8,6,64,3,3,8,2,2,0,53,1.043321
NPU_INT8,NPU_INT8,NPU_INT8,8,8,128,3,3,8,2,2,0,78,2.126769
NPU_INT8,NPU_INT8,NPU_INT8,16,14,8,3,3,16,2,2,0,41,2.360195
NPU_INT8,NPU_INT8,NPU_INT8,24,26,8,3,3,32,2,2,0,71,8.566986
NPU_INT8,NPU_INT8,NPU_INT8,28,28,16,3,3,64,2,2,0,196,15.892897
NPU_INT8,NPU_INT8,NPU_INT8,32,34,16,3,3,8,2,2,0,79,6.999494
NPU_INT8,NPU_INT8,NPU_INT8,32,38,32,3,3,8,2,2,0,132,9.425454
NPU_INT8,NPU_INT8,NPU_INT8,36,42,32,3,3,16,2,2,0,205,15.285072
NPU_INT8,NPU_INT8,NPU_INT8,42,44,32,3,3,32,2,2,0,403,19.20953
NPU_INT8,NPU_INT8,NPU_INT8,48,46,64,3,3,32,2,2,0,967,19.289745
NPU_INT8,NPU_INT8,NPU_INT8,54,54,128,3,3,16,2,2,0,1510,16.503353
NPU_INT8,NPU_INT8,NPU_INT8,112,112,8,1,1,8,2,2,0,369,1.087827
NPU_INT8,NPU_INT8,NPU_INT32,2,2,8,1,1,8,1,1,0,34,0.015059
NPU_INT8,NPU_INT8,NPU_INT32,4,2,8,1,1,16,1,1,0,34,0.060235
NPU_INT8,NPU_INT8,NPU_INT32,4,4,16,1,1,32,1,1,0,37,0.442811
